Claim_ID,Bind_Date1,Customer_Life_Value1,Age_Insured,Policy_Num,Policy_State,Policy_Start_Date,Policy_Expiry_Date,Policy_BI,Policy_Ded,Policy_Premium,Umbrella_Limit,Insured_Zip,Gender,Education,Occupation,Hobbies,Insured_Relationship,Capital_Gains,Capital_Loss,Garage_Location,Accident_Date,Accident_Type,Collision_Type,Accident_Severity,authorities_contacted,Acccident_State,Acccident_City,Accident_Location,Accident_Hour,Num_of_Vehicles_Involved,Property_Damage,Bodily_Injuries,Witnesses,Police_Report,DL_Expiry_Date,Claims_Date,Auto_Make,Auto_Model,Auto_Year,Vehicle_Color,Vehicle_Cost,Annual_Mileage,DiffIN_Mileage,Low_Mileage_Discount,Fraud_Ind,Commute_Discount,Total_Claim,Injury_Claim,Property_Claim,Vehicle_Claim,Vehicle_Registration,Check_Point
AA00022501,4/1/2022,21,28,129820454,IL,9/11/2023,3/11/2024,250/500,1000,1319.81,0,613587,MALE,High School,machine-op-inspct,yachting,husband,67200,-59400,No,1/28/2024,Multi-vehicle Collision,Side Collision,Minor Damage,Police,WV,Arlington,8917 Cherokee Lane,14,4,NO,1,0,YES,2/15/2026,1/31/2024,Toyota,Camry,2015,Blue,5535.38,15001,4057,0,N,0,21132.59,10142.37,4941.48,6048.74,RH23P3680,No
AA00022502,9/1/2022,16,57,169059110,OH,9/9/2023,3/9/2024,100/300,500,1216.56,0,436522,MALE,Masters,adm-clerical,skydiving,own-child,67400,-83200,No,1/31/2024,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1215 Pine Hwy,20,1,Unknown,0,2,NO,12/3/2025,2/5/2024,Suburu,Forrestor,2020,White,11923.78,16003,2139,0,N,0,17636.74,4547.26,5945.65,7143.83,GO38J0063,No
AA00022503,6/1/2022,19,56,122756960,IN,8/28/2023,2/28/2024,100/300,500,1935.85,4000000,470826,MALE,Masters,machine-op-inspct,reading,own-child,49500,-81100,No,1/12/2024,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Hillsdale,2217 Tree Lane,7,1,Unknown,2,3,,5/20/2025,1/15/2024,Mercedes,E400,2016,Silver,14103.68,9967,2976,0,Y,0,16780.23,8710.7,1009.47,7060.06,KD51U6953,No
AA00022504,10/1/2022,15,37,191469304,IL,9/18/2023,3/18/2024,100/300,1000,936.19,0,454776,MALE,JD,armed-forces,movies,other-relative,70600,-48500,No,2/2/2024,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbrook,7155 Apache Drive,4,3,Unknown,2,1,YES,10/2/2025,2/5/2024,Audi,A5,2015,Gray,5630.71,5150,5608,1,N,0,23672.4,744.74,17361.45,5566.21,CE63S8485,No
AA00022505,3/1/2022,22,29,154616785,OH,10/27/2023,4/27/2024,100/300,500,1203.24,0,600702,FEMALE,JD,transport-moving,video-games,other-relative,62500,-66900,No,2/5/2024,Vehicle Theft,Unknown,Minor Damage,Police,NY,Columbus,1562 Britain St,9,1,Unknown,2,0,,8/1/2025,2/6/2024,Honda,Accord,2021,Gray,13844.93,5144,2145,1,N,0,23579.24,2314.31,8212.07,13052.86,OP72V5904,No
AA00022506,6/1/2022,19,61,194748362,IN,8/17/2023,2/17/2024,250/500,1000,1562.8,0,458997,FEMALE,Masters,handlers-cleaners,dancing,not-in-family,42800,-68200,No,1/18/2024,Single Vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,7745 Washington Ridge,10,1,Unknown,1,2,YES,11/26/2025,1/23/2024,Suburu,Legacy,2018,Black,9393.01,13713,2437,0,N,0,4973.2,1762.96,1894.1,1316.14,IY52P0769,No
AA00022507,12/1/2022,13,34,197245530,IN,9/17/2023,3/17/2024,250/500,1000,1333.35,0,441716,MALE,PhD,prof-specialty,board-games,husband,0,-77000,No,1/13/2024,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Unknown,0,0,,7/5/2025,1/15/2024,Nissan,Pathfinder,2021,Silver,14553.18,15804,6836,0,N,0,6556.98,631.07,872.24,5053.67,QR77D4210,No
AA00022508,6/1/2022,19,39,170739323,IN,10/10/2023,4/10/2024,250/500,2000,1281.07,7000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,No,1/18/2024,Parked Car,Unknown,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,2,NO,12/18/2025,1/21/2024,Chevrolet,Malibu,2024,Red,24894.14,17342,5992,0,N,0,19701.23,4575.63,1064.74,14060.86,RA45J8267,No
AA00022509,3/1/2022,22,54,147191902,OH,8/18/2023,2/18/2024,100/300,1000,1372.27,0,436547,FEMALE,Masters,craft-repair,paintball,own-child,17600,0,No,1/8/2024,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,1388 Embaracadero Hwy,13,3,NO,2,3,,4/19/2025,1/11/2024,Suburu,Forrestor,2023,White,20669.96,15198,4910,0,N,0,11065.44,956.81,7281.19,2827.44,WF99J1896,No
AA00022510,5/1/2022,20,45,128681094,IL,11/3/2023,5/3/2024,100/300,1000,1119.23,0,447560,FEMALE,MD,exec-managerial,exercise,unmarried,51500,0,No,2/18/2024,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Northbend,8701 5th Lane,13,3,NO,1,1,NO,3/13/2026,2/20/2024,Jeep,Wrangler,2024,Gray,23606.18,12147,7910,0,N,0,14501.57,6972.63,6358.82,1170.12,KB53G1900,No
AA00022511,1/1/2023,12,35,199485035,IN,9/12/2023,3/12/2024,250/500,2000,1318.06,0,618498,MALE,High School,exec-managerial,video-games,wife,57300,-80600,No,1/19/2024,Vehicle Theft,Unknown,Trivial Damage,,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,5/10/2025,1/23/2024,Volkswagen,Jetta,2018,White,9344.75,6896,3027,1,N,0,736.11,76.82,43.17,616.12,XL72F0184,No
AA00022512,1/1/2022,24,41,129223079,IL,9/30/2023,3/31/2024,100/300,500,1042.25,0,601206,MALE,Masters,exec-managerial,reading,unmarried,0,-44400,No,2/8/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Riverwood,2905 Embaracadero Drive,0,3,NO,2,3,NO,4/16/2026,2/12/2024,Mercedes,C300,2017,Gray,7281.95,15910,5311,0,Y,0,12146.55,5728.41,1453.25,4964.89,CS25U4825,No
AA00022513,2/1/2022,23,30,183241658,OH,10/24/2023,4/24/2024,250/500,1000,1173.25,0,442936,FEMALE,Masters,protective-serv,dancing,husband,0,-34700,No,2/25/2024,Vehicle Theft,Unknown,Minor Damage,,WV,Arlington,4434 Weaver St,3,1,NO,0,3,YES,4/15/2026,2/29/2024,Chevrolet,Malibu,2022,Red,16427.23,12707,7773,0,N,0,12915.77,1157.75,3029.05,8728.97,KY72P9613,No
AA00022514,8/1/2022,17,29,115051436,IL,9/22/2023,3/22/2024,250/500,500,1239.55,2000000,464736,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,No,1/9/2024,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,Unknown,1,1,YES,4/1/2025,1/9/2024,Mercedes,ML350,2024,Silver,24921.9,11979,2713,0,Y,0,12844.43,4128.56,6242.75,2473.12,FV58Z0278,No
AA00022515,11/1/2022,14,56,122756960,IN,8/28/2023,2/28/2024,100/300,500,1935.85,4000000,470826,MALE,Masters,machine-op-inspct,reading,own-child,49500,-81100,No,1/12/2024,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Hillsdale,2217 Tree Lane,7,1,Unknown,2,3,,5/20/2025,1/15/2024,Mercedes,E400,2016,Silver,13364.52,7444,3211,1,Y,0,7832.89,1256.46,1770.28,4806.15,HA81B5576,No
AA00022516,8/1/2022,17,26,179715851,IN,10/19/2023,4/19/2024,500/1000,2000,1082.1,0,477268,MALE,JD,exec-managerial,kayaking,other-relative,0,-30900,No,2/5/2024,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbend,2492 Lincoln Lane,13,2,Unknown,0,1,YES,6/15/2025,2/7/2024,Jeep,Wrangler,2019,Gray,10515.71,7580,6613,0,N,0,635.48,140.12,374.41,120.95,DI16R7201,No
AA00022517,1/1/2022,24,31,159718954,OH,11/4/2023,5/4/2024,250/500,1000,1377.23,0,440757,FEMALE,Masters,armed-forces,kayaking,unmarried,72600,0,No,3/1/2024,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NY,Hillsdale,9240 Britain Ave,1,3,Unknown,2,1,,5/4/2026,3/2/2024,Nissan,Maxima,2023,Blue,21109.06,10865,2315,0,N,0,5111.36,2812.62,1847.83,450.91,OX79B0191,No
AA00022518,2/1/2022,23,60,185295646,OH,11/6/2023,5/6/2024,500/1000,1000,1269.64,0,602942,FEMALE,College,armed-forces,cross-fit,unmarried,48800,0,No,2/14/2024,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Riverwood,8954 Apache Lane,10,1,NO,1,3,NO,7/17/2025,2/18/2024,Chevrolet,Silverado,2021,Blue,14216.09,14428,7523,0,Y,0,19700.37,6760.46,9561.56,3378.35,NP25Q7057,No
AA00022519,1/1/2023,12,29,116429059,IL,8/21/2023,2/21/2024,250/500,1000,1861.43,0,461514,MALE,High School,adm-clerical,polo,husband,60400,-67800,No,1/15/2024,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Columbus,7693 Cherokee Lane,16,1,NO,0,3,YES,12/28/2025,1/20/2024,Saab,92x,2022,Silver,13661.72,17902,7750,0,Y,0,22197.71,19813.28,1103.99,1280.44,VE73H6019,No
AA00022520,2/1/2022,23,46,112120203,IN,9/20/2023,3/20/2024,500/1000,2000,1066.7,0,473370,FEMALE,JD,handlers-cleaners,sleeping,own-child,0,0,No,1/30/2024,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Northbend,6357 Texas Lane,22,3,NO,0,2,NO,1/26/2026,2/4/2024,Audi,A3,2023,Black,20426.08,6086,3753,1,N,0,8824.93,1896.56,3298.92,3629.45,YZ99E8068,No
AA00022521,2/1/2022,23,43,168111273,OH,10/22/2023,4/22/2024,500/1000,500,1235.1,0,466959,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,No,2/10/2024,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,9138 3rd St,14,1,NO,2,1,NO,8/26/2025,2/10/2024,BMW,M5,2020,Gray,12941.37,12715,6646,0,N,0,13768.55,3247.14,9665.75,855.66,ZK77Q1255,No
AA00022522,8/1/2022,17,32,159331373,OH,11/2/2023,5/2/2024,250/500,2000,1624.82,0,454656,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,No,2/9/2024,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,4965 MLK Drive,16,1,Unknown,1,1,,1/30/2026,2/10/2024,BMW,3 Series,2015,White,5446.67,15263,2450,0,N,0,15545.8,5735.69,3152.94,6657.17,CS23Z6469,No
AA00022523,5/1/2022,20,38,159458719,IL,11/1/2023,5/1/2024,500/1000,2000,1294.93,6000000,477356,MALE,MD,tech-support,video-games,unmarried,38000,-50300,No,2/14/2024,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,WV,Springfield,1957 Washington Ave,12,3,YES,1,2,NO,6/16/2025,2/17/2024,Dodge,Neon,2017,Red,7464.31,6823,2476,1,N,0,6607.6,4572.0,136.25,1899.35,IX49B4024,No
AA00022524,4/1/2022,21,33,167990246,OH,8/6/2023,2/6/2024,500/1000,1000,1141.71,2000000,435995,FEMALE,JD,priv-house-serv,sleeping,own-child,36700,-73400,No,1/4/2024,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,7782 Rock St,21,1,YES,1,2,,12/17/2025,1/6/2024,Suburu,Legacy,2018,Gray,9276.08,11922,2068,0,N,0,23969.76,4121.73,9002.88,10845.15,OT24C0027,No
AA00022525,8/1/2022,17,26,121029656,OH,10/7/2023,4/7/2024,250/500,2000,1509.04,0,611723,FEMALE,Associate,prof-specialty,bungie-jumping,husband,10000,0,No,2/23/2024,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,1832 Elm Hwy,9,1,YES,2,3,NO,10/4/2025,2/25/2024,Saab,92x,2016,Gray,5195.92,17152,4586,0,N,0,6740.27,1658.91,3552.41,1528.95,BO12W3281,No
AA00022526,1/1/2022,24,44,196877995,IL,9/18/2023,3/18/2024,500/1000,2000,1030.95,0,435985,FEMALE,Associate,machine-op-inspct,paintball,other-relative,47200,0,No,2/3/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,2865 Maple Lane,20,3,Unknown,1,0,NO,7/18/2025,2/8/2024,Audi,A3,2016,White,6676.94,16996,7218,0,Y,0,13427.76,1173.65,11492.41,761.7,HH38H3130,No
AA00022527,4/1/2022,21,31,186931019,OH,10/29/2023,4/29/2024,100/300,1000,1457.65,5000000,606219,FEMALE,College,armed-forces,camping,own-child,0,0,No,2/3/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Riverwood,1110 4th Drive,0,3,NO,1,3,,10/1/2025,2/7/2024,Toyota,Highlander,2019,Black,10979.67,9333,5007,0,N,0,16479.44,9206.25,585.27,6687.92,XE21T3708,No
AA00022528,5/1/2022,20,48,132071308,IN,9/29/2023,3/29/2024,100/300,1000,1538.6,0,618455,FEMALE,MD,other-service,kayaking,wife,0,-54700,No,1/11/2024,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbend,2668 Cherokee St,12,1,Unknown,0,0,,8/9/2025,1/14/2024,Ford,Fusion,2016,Gray,6172.1,6090,5452,1,N,0,1180.77,60.0,29.79,1090.98,EL09Z0596,No
AA00022529,3/1/2022,22,44,125774862,OH,9/21/2023,3/21/2024,500/1000,1000,1653.32,0,460517,FEMALE,College,other-service,bungie-jumping,other-relative,0,-48800,No,1/25/2024,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,7295 Tree Hwy,3,1,YES,2,0,,11/5/2025,1/26/2024,Suburu,Impreza,2018,Gray,8700.51,9424,2269,0,N,0,4182.53,1940.45,1794.78,447.3,ZB05E6284,No
AA00022530,2/1/2022,23,27,141887191,IL,8/17/2023,2/17/2024,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,No,1/17/2024,Vehicle Theft,Unknown,Trivial Damage,,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,,6/14/2025,1/21/2024,BMW,M5,2017,Black,7992.75,8021,5227,0,N,0,5754.19,3256.88,2212.02,285.29,UG52B8534,No
AA00022531,7/1/2022,18,43,191413048,OH,10/9/2023,4/9/2024,250/500,1000,1524.45,4000000,607458,MALE,High School,handlers-cleaners,chess,wife,0,-44800,No,2/16/2024,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NC,Hillsdale,3397 5th Ave,21,4,NO,0,0,NO,6/30/2025,2/20/2024,Saab,92x,2022,Silver,13968.08,13235,7021,0,Y,0,7168.36,4423.97,2465.57,278.82,PX67W4290,No
AA00022532,4/1/2022,21,35,132665261,IL,10/16/2023,4/16/2024,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,No,2/24/2024,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,3/9/2026,2/28/2024,BMW,3 Series,2017,Gray,7857.0,9815,3880,0,N,0,24628.57,13394.61,4555.89,6678.07,WL78K8556,No
AA00022533,4/1/2022,21,49,128968683,IL,8/29/2023,2/29/2024,100/300,2000,1239.06,0,439360,FEMALE,JD,transport-moving,skydiving,husband,34900,0,No,1/10/2024,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Riverwood,2820 Britain St,19,1,Unknown,1,1,,6/6/2025,1/13/2024,Volkswagen,Passat,2018,Gray,8715.73,12000,4535,0,N,0,19071.5,15423.18,1913.02,1735.3,VU71I4232,No
AA00022534,2/1/2022,23,37,156249672,OH,9/1/2023,3/1/2024,100/300,500,1457.21,0,471785,FEMALE,JD,adm-clerical,hiking,own-child,46300,0,No,1/17/2024,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,5499 Elm Hwy,6,1,Unknown,2,0,YES,4/18/2025,1/21/2024,Suburu,Forrestor,2017,White,7505.17,15727,5623,0,N,0,17732.26,4533.97,5953.43,7244.86,AG34W3677,No
AA00022535,6/1/2022,19,55,192848218,IN,10/18/2023,4/18/2024,250/500,500,1607.36,0,444626,MALE,MD,sales,yachting,own-child,0,0,No,1/19/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Arlington,8624 Francis Ave,21,4,Unknown,0,2,NO,8/28/2025,1/23/2024,Dodge,RAM,2016,White,8478.82,14859,7191,0,Y,0,20671.79,600.69,1488.01,18583.09,VZ32M6885,No
AA00022536,1/1/2023,12,30,174100991,IN,10/5/2023,4/5/2024,100/300,1000,1437.88,0,614383,FEMALE,College,transport-moving,reading,husband,42800,-51200,No,2/25/2024,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,9488 Best Drive,3,1,NO,2,0,YES,2/21/2026,3/1/2024,Chevrolet,Malibu,2017,Red,7449.39,17345,3505,0,N,0,18068.46,4300.2,10665.01,3103.25,BD18A1232,No
AA00022537,8/1/2022,17,56,115577584,IL,9/8/2023,3/8/2024,250/500,1000,1595.28,0,479320,FEMALE,College,protective-serv,exercise,other-relative,0,0,No,1/6/2024,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,8049 4th St,23,3,Unknown,0,0,,11/7/2025,1/10/2024,Volkswagen,Passat,2016,White,6709.86,6309,5977,1,N,0,10774.96,3353.16,2955.54,4466.26,WX01D3679,No
AA00022538,3/1/2022,22,26,179715851,IN,10/19/2023,4/19/2024,500/1000,2000,1082.1,0,477268,MALE,JD,exec-managerial,kayaking,other-relative,0,-30900,No,2/5/2024,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbend,2492 Lincoln Lane,13,2,Unknown,0,1,YES,6/15/2025,2/7/2024,Jeep,Wrangler,2019,White,10969.2,11232,4496,0,N,0,5291.16,2955.99,691.62,1643.55,PW73O8132,No
AA00022539,3/1/2022,22,39,183603337,IN,9/4/2023,3/4/2024,250/500,2000,625.08,0,437156,FEMALE,JD,protective-serv,hiking,wife,44200,-37000,No,1/3/2024,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2757 4th Hwy,10,1,NO,2,3,YES,3/20/2025,1/6/2024,BMW,X6,2023,White,19752.03,13374,2870,0,Y,0,14009.14,2193.25,5584.58,6231.31,CP81B0685,No
AA00022540,3/1/2022,22,40,172345771,OH,11/18/2023,5/18/2024,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,No,2/18/2024,Vehicle Theft,Unknown,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,12/4/2025,2/19/2024,Jeep,Grand Cherokee,2017,Black,7286.23,14877,2783,0,N,0,4559.89,935.79,2647.55,976.55,YC12W8585,No
AA00022541,6/1/2022,19,45,182347086,IN,8/27/2023,2/27/2024,500/1000,500,1330.46,0,435552,FEMALE,High School,machine-op-inspct,sleeping,wife,54800,-64100,No,1/18/2024,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Hillsdale,2220 1st Lane,5,3,Unknown,0,0,NO,1/24/2026,1/20/2024,Suburu,Forrestor,2017,White,7267.18,16749,2381,0,N,0,15126.4,5705.74,6520.01,2900.65,OP08Z4609,No
AA00022542,3/1/2022,22,31,199133595,OH,11/5/2023,5/5/2024,500/1000,1000,1051.67,0,479824,FEMALE,Associate,exec-managerial,bungie-jumping,not-in-family,0,0,No,3/1/2024,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Riverwood,1472 4th Drive,18,3,YES,0,3,NO,9/15/2025,3/3/2024,Audi,A5,2015,Gray,5397.98,9140,7228,0,Y,0,20157.27,2700.35,14072.58,3384.34,DK62M9308,No
AA00022543,1/1/2022,24,32,194481092,IN,11/9/2023,5/9/2024,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,No,2/22/2024,Parked Car,Unknown,Minor Damage,,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,12/19/2025,2/25/2024,Chevrolet,Silverado,2023,Red,19957.09,9645,6941,0,N,0,13895.56,1054.2,4127.53,8713.83,BD55Y8806,No
AA00022544,3/1/2022,22,30,127299878,IN,10/9/2023,4/9/2024,250/500,2000,1616.58,0,447979,MALE,JD,adm-clerical,polo,husband,58500,-46800,No,2/4/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,13,3,YES,0,3,YES,1/4/2026,2/7/2024,Dodge,RAM,2019,White,12918.91,12849,3360,0,N,0,16417.94,2749.63,9351.56,4316.75,LG53E5126,No
