Claim_ID,Bind_Date1,Customer_Life_Value1,Age_Insured,Policy_Num,Policy_State,Policy_Start_Date,Policy_Expiry_Date,Policy_BI,Policy_Ded,Policy_Premium,Umbrella_Limit,Insured_Zip,Gender,Education,Occupation,Hobbies,Insured_Relationship,Capital_Gains,Capital_Loss,Garage_Location,Accident_Date,Accident_Type,Collision_Type,Accident_Severity,authorities_contacted,Acccident_State,Acccident_City,Accident_Location,Accident_Hour,Num_of_Vehicles_Involved,Property_Damage,Bodily_Injuries,Witnesses,Police_Report,DL_Expiry_Date,Claims_Date,Auto_Make,Auto_Model,Auto_Year,Vehicle_Color,Vehicle_Cost,Annual_Mileage,DiffIN_Mileage,Low_Mileage_Discount,Fraud_Ind,Commute_Discount,Total_Claim,Injury_Claim,Property_Claim,Vehicle_Claim,Vehicle_Registration,Check_Point
BB00010001,7/1/2022,18,49,142151828,IN,9/5/2023,3/5/2024,100/300,1000,1525.86,0,463184,FEMALE,PhD,craft-repair,camping,own-child,0,0,No,1/21/2024,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,9066 Best Ridge,2,1,YES,1,1,YES,1/5/2026,1/21/2024,Saab,95,2022,Silver,17413.61,11268,6972,0,N,0,16161.1,8752.16,3641.83,3767.11,CD76H2829,No
BB00010002,1/1/2022,24,38,188065828,IL,9/5/2023,3/5/2024,250/500,500,1394.43,0,606352,FEMALE,Masters,other-service,skydiving,not-in-family,0,0,No,1/31/2024,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,7,1,Unknown,0,1,YES,3/11/2026,2/5/2024,Nissan,Maxima,2021,Silver,14288.25,17175,5831,0,Y,0,10738.17,3061.13,4313.7,3363.34,WK81H7909,No
BB00010003,11/1/2022,14,39,175830000,IL,11/12/2023,5/12/2024,100/300,1000,904.7,7000000,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300,No,2/17/2024,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,Unknown,1,3,NO,11/13/2025,2/17/2024,Accura,TL,2018,White,8712.61,6944,5634,1,Y,0,5010.19,2087.32,1784.2,1138.67,HG56Y6484,No
BB00010004,2/1/2022,23,32,181633846,OH,10/21/2023,4/21/2024,100/300,500,1008.38,0,472803,FEMALE,PhD,adm-clerical,yachting,other-relative,37900,0,No,2/1/2024,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Arlington,4239 Weaver Ave,11,1,NO,1,0,,4/18/2025,2/3/2024,Dodge,Neon,2022,Red,17217.98,7323,5300,1,N,0,22078.61,6431.16,520.58,15126.87,GH33G9711,No
BB00010005,10/1/2022,15,23,142506319,OH,10/12/2023,4/12/2024,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,No,1/22/2024,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,3/24/2026,1/27/2024,Saab,95,2020,Blue,11940.85,5377,3834,1,N,0,6433.19,4158.47,1200.03,1074.69,LL37A8980,No
BB00010006,6/1/2022,19,32,129436508,IL,8/25/2023,2/25/2024,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,No,1/12/2024,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,11/10/2025,1/17/2024,BMW,M5,2020,White,11828.23,5316,2629,1,N,0,8395.4,1241.17,3925.15,3229.08,AS63K6278,No
BB00010007,1/1/2022,24,45,140381984,IL,10/1/2023,4/1/2024,100/300,1000,1046.71,0,616714,MALE,Masters,priv-house-serv,polo,husband,0,0,No,2/27/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,8586 1st Ridge,4,3,Unknown,2,1,,10/23/2025,2/28/2024,Mercedes,C300,2018,Silver,8566.54,16820,5495,0,N,0,23022.11,11702.49,6256.37,5063.25,YI55K5912,No
BB00010008,7/1/2022,18,46,160976313,IN,9/16/2023,3/16/2024,100/300,2000,897.89,6000000,618862,MALE,MD,tech-support,board-games,wife,0,-41300,No,1/21/2024,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,4519 Embaracadero St,13,1,Unknown,1,0,YES,11/25/2025,1/21/2024,Jeep,Wrangler,2020,Gray,12198.63,15005,7106,0,N,0,11358.65,3543.25,4506.05,3309.35,BN26Y0805,No
BB00010009,8/1/2022,17,43,148765783,OH,9/15/2023,3/15/2024,100/300,1000,1515.18,6000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,No,1/9/2024,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,10/23/2025,1/14/2024,BMW,X6,2021,White,14005.99,9982,6983,0,N,0,18049.19,14146.55,642.56,3260.08,VT30Z0088,No
BB00010010,9/1/2022,16,33,156163529,OH,10/7/2023,4/7/2024,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,No,1/24/2024,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,2/7/2026,1/26/2024,Mercedes,C300,2022,Gray,17269.26,16233,4952,0,Y,0,10602.77,4362.68,3053.0,3187.09,XH70C2526,No
BB00010011,1/1/2023,12,43,138596366,OH,9/21/2023,3/21/2024,250/500,500,1734.09,0,451400,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,No,1/12/2024,Parked Car,Unknown,Trivial Damage,,WV,Arlington,4964 Elm Lane,6,1,YES,0,3,,5/19/2025,1/15/2024,Accura,MDX,2015,White,5666.46,10740,3251,0,N,0,20138.08,3558.9,8915.35,7663.83,OY06Q9577,No
BB00010012,3/1/2022,22,45,125910409,OH,10/2/2023,4/2/2024,500/1000,500,1187.53,0,615383,FEMALE,PhD,priv-house-serv,yachting,not-in-family,83200,-53300,No,2/24/2024,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Columbus,9720 Lincoln Hwy,23,3,Unknown,0,0,YES,7/25/2025,2/27/2024,Saab,92x,2015,Gray,4366.09,13874,7267,0,N,0,17744.88,5785.86,4183.64,7775.38,FW00R1259,No
BB00010013,8/1/2022,17,62,125392954,IL,9/18/2023,3/18/2024,100/300,500,1011.92,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,No,2/15/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,7,3,YES,0,3,,9/6/2025,2/20/2024,Chevrolet,Tahoe,2018,White,16068.56,6151,6449,1,N,0,20426.84,5117.03,4254.7,11055.11,VS59N1563,No
BB00010014,8/1/2022,17,41,175492478,IL,9/9/2023,3/9/2024,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,No,1/10/2024,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Unknown,1,2,NO,5/12/2025,1/10/2024,Chevrolet,Tahoe,2023,Silver,34720.23,15092,7984,0,Y,0,21555.87,11815.09,3499.98,6240.8,ED74D9744,No
BB00010015,2/1/2022,23,30,145604801,IN,10/19/2023,4/19/2024,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,No,2/20/2024,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,Unknown,1,3,YES,11/25/2025,2/21/2024,Chevrolet,Malibu,2019,Blue,10074.56,6303,2493,1,N,0,23829.25,2494.67,20403.17,931.41,QH14R1080,No
BB00010016,12/1/2022,13,34,192932240,IN,8/10/2023,2/10/2024,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,No,1/10/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,,7/26/2025,1/15/2024,Nissan,Maxima,2023,Silver,20849.27,5016,5746,1,Y,0,17857.39,6013.5,5686.66,6157.23,TL51Z3196,No
BB00010017,7/1/2022,18,34,148296327,IN,8/20/2023,2/20/2024,500/1000,1000,1056.71,0,464630,FEMALE,JD,protective-serv,paintball,not-in-family,77900,0,No,1/20/2024,Parked Car,Unknown,Minor Damage,,VA,Columbus,3805 Lincoln Hwy,3,1,NO,2,1,,8/27/2025,1/22/2024,Jeep,Grand Cherokee,2018,Gray,9072.68,11266,2110,0,N,0,8784.73,6071.86,1119.71,1593.16,UM49A0641,No
